tconst,averageRating,numVotes
tt3895284, 8.6 ," 14,349 "
tt10590066, 8.6 ," 14,228 "
tt22185582, 8.6 ," 13,489 "
tt12557670, 8.6 ," 12,822 "
tt2011970, 8.6 ," 12,799 "
tt0120570, 8.6 ," 12,788 "
tt13609680, 8.6 ," 12,663 "
tt12557682, 8.6 ," 12,566 "
tt2401094, 8.6 ," 12,527 "
tt0086831, 8.6 ," 12,283 "
tt1298820, 8.6 ," 11,863 "
tt3853920, 8.6 ," 11,824 "
tt1877368, 8.6 ," 11,663 "
tt0365467, 8.6 ," 11,654 "
tt13280064, 8.6 ," 11,496 "
tt11691684, 8.6 ," 11,353 "
tt0118273, 8.6 ," 11,213 "
tt1407064, 8.6 ," 11,062 "
tt15614372, 8.6 ," 10,926 "
tt17513352, 8.6 ," 10,886 "
tt1245384, 8.6 ," 10,269 "
tt0172495, 8.5 ," 1,553,157 "
tt0482571, 8.5 ," 1,386,338 "
tt0407887, 8.5 ," 1,372,274 "
tt0088763, 8.5 ," 1,255,805 "
tt0110413, 8.5 ," 1,202,727 "
tt0120586, 8.5 ," 1,153,210 "
tt0114814, 8.5 ," 1,114,049 "
tt0110357, 8.5 ," 1,099,213 "
tt2582802, 8.5 ," 923,376 "
tt0078748, 8.5 ," 913,859 "
tt1675434, 8.5 ," 892,483 "
tt0253474, 8.5 ," 870,443 "
tt0054215, 8.5 ," 694,898 "
tt0034583, 8.5 ," 589,235 "
tt2306299, 8.5 ," 558,392 "
tt0475784, 8.5 ," 519,180 "
tt0047396, 8.5 ," 506,525 "
tt10048342, 8.5 ," 503,874 "
tt1442437, 8.5 ," 458,094 "
tt0064116, 8.5 ," 340,157 "
tt11198330, 8.5 ," 336,715 "
tt0095327, 8.5 ," 292,742 "
